episode,train_reward,train_duration,eval_reward,eval_duration
170,9319.71484375,707,,
171,9264.8359375,468,,
172,9286.822265625,296,,
173,9291.85546875,456,,
174,9304.8720703125,565,,
175,9317.181640625,999,,
176,9257.6328125,186,,
177,9238.939453125,73,,
178,9254.4365234375,105,,
179,9254.470703125,108,,
180,9272.564453125,169,,
181,9282.607421875,398,,
182,9290.240234375,252,,
183,9285.970703125,289,,
184,9305.7373046875,416,,
185,9297.958984375,598,,
186,9313.271484375,966,,
187,9305.275390625,453,,
188,9300.1484375,334,,
189,9309.400390625,464,,
190,9314.14453125,863,,
191,9306.4873046875,424,,
192,9320.0419921875,999,,
193,9298.00390625,617,,
194,9297.73828125,184,,
195,9292.3330078125,239,,
196,9308.111328125,503,,
197,9293.4384765625,685,,
198,9310.439453125,266,,
199,9323.2890625,999,,
200,9328.0732421875,999,,
201,9314.71875,624,,
202,9318.6484375,724,,
203,9317.8349609375,719,,
204,9329.234375,999,,
205,9332.0556640625,999,,
206,9318.564453125,341,,
207,9317.712890625,406,,
208,9330.3916015625,647,,
209,9325.6708984375,866,,
210,9329.3359375,999,,
211,9332.0517578125,998,,
212,9337.5087890625,999,,
213,9340.908203125,999,,
214,9347.2021484375,999,,
215,9350.158203125,999,,
216,9352.1865234375,999,,
217,9353.9775390625,999,,
218,9354.2060546875,999,,
219,9354.091796875,999,,
220,9354.154296875,999,,
221,9353.7373046875,999,,
222,9355.95703125,999,,
223,9317.4482421875,999,,
224,9290.392578125,96,,
225,9315.6435546875,140,,
226,9298.0380859375,145,,
227,9307.9345703125,211,,
228,9286.021484375,102,,
229,9322.041015625,221,,
230,9325.3193359375,225,,
231,9305.19140625,130,,
232,9299.990234375,181,,
233,9315.8837890625,155,,
234,9330.5302734375,317,,
235,9307.63671875,249,,
236,9327.5595703125,445,,
237,9319.3203125,402,,
238,9333.083984375,577,,
239,9324.451171875,656,,
240,9324.9560546875,689,,
241,9332.84765625,998,,
242,9325.3203125,999,,
243,9328.4287109375,384,,
244,9325.978515625,295,,
245,9329.7939453125,664,,
246,9318.125,620,,
247,9328.6025390625,999,,
248,9314.115234375,432,,
249,9317.6904296875,412,,
250,9327.720703125,999,,
251,9334.5625,998,,
252,9318.142578125,999,,
253,9292.263671875,87,,
254,9302.240234375,104,,
255,9293.193359375,121,,
256,9302.4990234375,129,,
257,9296.244140625,136,,
258,9313.900390625,224,,
259,9313.1552734375,261,,
260,9297.056640625,151,,
261,9304.08203125,95,,
262,9307.8994140625,125,,
263,9297.63671875,151,,
264,9305.853515625,125,,
265,9316.64453125,251,,
266,9329.263671875,999,,
267,9320.6953125,394,,
268,9329.40625,999,,
269,9325.3623046875,999,,
270,9329.21484375,999,,
271,9332.109375,760,,
272,9323.4248046875,999,,
273,9332.466796875,923,,
274,9332.314453125,999,,
275,9332.3232421875,999,,
276,9330.8076171875,999,,
277,9336.01171875,999,,
278,9339.60546875,999,,
279,9334.326171875,999,,
280,9331.8046875,937,,
281,9338.208984375,998,,
282,9340.95703125,999,,
283,9339.75,999,,
284,9344.8203125,999,,
285,9345.23046875,999,,
286,9342.20703125,999,,
287,9348.173828125,979,,
288,9351.595703125,999,,
289,9349.3349609375,999,,
290,9354.0234375,999,,
291,9346.443359375,998,,
292,9346.9609375,999,,
293,9340.0556640625,999,,
294,9346.48046875,999,,
295,9353.1083984375,999,,
296,9357.3603515625,999,,
297,9354.296875,999,,
298,9358.876953125,999,,
299,9359.1669921875,999,,
300,9353.41015625,961,,
301,9358.115234375,998,,
302,9357.78125,999,,
303,9359.38671875,999,,
304,9359.501953125,999,,
305,9359.45703125,999,,
306,9359.208984375,999,,
307,9359.595703125,999,,
308,9357.412109375,999,,
309,9359.4267578125,999,,
310,9358.9912109375,999,,
311,9354.5625,987,,
312,9357.541015625,999,,
313,9358.8486328125,999,,
314,9355.474609375,999,,
315,9358.9765625,999,,
316,9359.0087890625,999,,
317,9357.6845703125,999,,
318,9358.9208984375,999,,
319,9356.96875,999,,
320,9345.9326171875,999,,
321,9358.564453125,998,,
322,9357.3134765625,999,,
323,9358.9951171875,999,,
324,9359.0859375,999,,
325,9359.208984375,999,,
326,9359.455078125,999,,
327,9356.669921875,999,,
328,9357.7978515625,999,,
329,9359.1884765625,999,,
330,9359.5,999,,
331,9359.375,998,,
332,9349.787109375,999,,
333,9356.962890625,822,,
334,9359.5771484375,999,,
335,9359.3173828125,999,,
336,9358.3681640625,999,,
337,9356.578125,999,,
338,9359.5546875,999,,
339,9358.31640625,999,,
340,9356.259765625,999,,
341,9358.58984375,998,,
342,9354.873046875,999,,
343,9358.806640625,999,,
344,9359.583984375,999,,
345,9359.609375,999,,
346,9359.658203125,999,,
347,9359.3154296875,999,,
348,9359.73828125,999,,
349,9359.1767578125,999,,
350,9359.658203125,999,,
351,9359.5,998,,
352,9359.6435546875,999,,
353,9359.7470703125,999,,
354,9359.7578125,999,,
355,9359.265625,999,,
356,9306.0234375,999,,
357,9308.845703125,67,,
358,9299.7421875,58,,
359,9299.3359375,77,,
360,9291.6572265625,57,,
361,9300.380859375,55,,
