length,reward,energy
5,35.503966695522614,5.451192861007161
4,25.727325603425346,-30.776720133661783
10,81.69181334099183,60.36291225379219
5,35.5253267692352,-1.3104035605609603
9,72.35323488658939,41.384578549706674
6,44.16569679221275,-22.93030092632331
6,44.75612095478616,13.03410957155401
6,44.685318620386475,37.299647667596815
6,44.1987037491099,28.642259031907372
5,35.49005772764429,8.676882658992836
5,35.60574292684852,10.780524193844325
4,26.24914175499042,-12.845053400063124
7,53.728968233784336,7.634318682150408
6,44.33238685212423,3.6676008081698654
4,25.98378370822861,-19.38738570948164
5,35.345793863188824,0.9997726482670632
6,45.05443568737998,10.488996357191542
4,25.490762033747288,-40.53240828230561
4,25.787886423693497,-32.8095663294582
6,44.136529067498756,-3.122471940114959
7,54.05872429690224,22.275297127611346
8,63.260872861494114,8.711104343778466
5,35.21858871122558,10.29228677547412
6,44.58545456730168,36.91467886512098
5,35.18366017831637,10.595982861673608
6,44.95334784493242,17.86042163368858
5,34.96848403180578,-2.591760420387658
7,53.91009434384453,28.56965713142054
4,26.190481908541592,-12.925794286727397
5,35.06923502664661,-16.612056422254376
10,81.20988743859265,56.940633118217406
5,35.51717719631303,8.202459953931868
5,35.467704883638426,13.060708643755445
5,35.27940299024735,-8.7552980442437
6,44.72440231363999,23.459655089130685
5,35.18890916254693,-36.46007184900402
11,91.18668109397437,85.98308513209565
6,44.59553548356921,15.41409979756732
7,53.90430086701132,30.17898809598737
5,35.350465235038214,-14.418424036107613
9,72.1313136450709,53.527385400495646
6,44.0415929076556,3.6156205147563423
7,53.46976318630341,34.54418598409171
5,34.93229628746326,-10.363701122432571
6,44.35517615789991,-9.045096730386568
4,25.655465566439215,-64.07521545234229
7,54.02609039520679,30.450591833847028
4,25.837626571551375,-41.2283007612517
7,53.54422810319976,0.3925403955745139
6,44.36924774242137,24.28201240608512
5,35.00114016967565,-23.521296086459365
7,53.42346513577273,29.032458756329497
5,35.17090228036309,-11.20552592233066
6,44.662127724105204,22.763739600747346
5,35.28548941852318,7.7074615604255605
6,44.175427594097584,-1.39218997816441
