,TRPO,TRPO,PPO,PPO
,Energy,Regular,Energy,Regular
Regular reward,8179.59779012517,8624.252092929386,9358.246495217372,9358.242515830387
Energy reward,10266.548207157204,10791.202340398575,11766.470826492012,11766.419269415173
Episode lentgh,874.741,922.078,1000.0,1000.0
